MJD,mag,emag
5.382131889000022784e+04,1.229625000000000057e+01,1.974525259397812843e-02
5.382420981999998912e+04,1.224225000000000030e+01,2.160584411681246847e-02
5.382625704000005499e+04,1.234075000000000166e+01,1.846110776741200638e-02
5.382919431000016630e+04,1.236275000000000013e+01,2.188892413984753343e-02
5.383323650000011548e+04,1.231525000000000070e+01,1.949198553252079469e-02
5.383523084999993443e+04,1.233599999999999852e+01,1.769357227922049511e-02
5.383724130999995396e+04,1.238774999999999871e+01,1.756416807025029322e-02
5.384720097000012174e+04,1.221800000000000175e+01,2.028238151697181815e-02
5.384919308000011370e+04,1.230925000000000047e+01,1.984785882658378700e-02
5.385119266000017524e+04,1.237725000000000009e+01,2.223454519435915863e-02
