# HJD mag emag
5.610901058000000194e+04 1.238799999999999990e+01 8.000000000000000167e-03
5.610901273000000219e+04 1.238199999999999967e+01 8.000000000000000167e-03
5.610996295999999711e+04 1.238700000000000045e+01 8.999999999999999320e-03
5.610996536000000197e+04 1.239199999999999946e+01 8.000000000000000167e-03
5.610996777000000293e+04 1.238199999999999967e+01 8.999999999999999320e-03
5.610997017999999662e+04 1.239199999999999946e+01 8.999999999999999320e-03
5.610997260000000097e+04 1.236500000000000021e+01 8.999999999999999320e-03
5.610997501999999804e+04 1.236100000000000065e+01 8.999999999999999320e-03
5.610997742000000289e+04 1.235399999999999920e+01 8.000000000000000167e-03
5.610997983999999997e+04 1.236999999999999922e+01 8.999999999999999320e-03
5.610998225999999704e+04 1.236800000000000033e+01 8.999999999999999320e-03
5.610998468000000139e+04 1.238199999999999967e+01 8.000000000000000167e-03
5.610998709999999846e+04 1.237100000000000044e+01 8.000000000000000167e-03
5.610998937000000296e+04 1.241499999999999915e+01 8.999999999999999320e-03
5.610999150999999983e+04 1.238400000000000034e+01 8.999999999999999320e-03
5.610999364999999671e+04 1.239100000000000001e+01 8.000000000000000167e-03
5.610999579000000085e+04 1.238599999999999923e+01 8.000000000000000167e-03
5.610999794999999722e+04 1.238400000000000034e+01 8.000000000000000167e-03
5.611000009000000136e+04 1.238799999999999990e+01 8.999999999999999320e-03
5.611000222999999824e+04 1.238199999999999967e+01 8.999999999999999320e-03
5.611000437000000238e+04 1.237400000000000055e+01 8.000000000000000167e-03
5.611000652000000264e+04 1.237899999999999956e+01 8.999999999999999320e-03
5.611000865999999951e+04 1.236400000000000077e+01 8.000000000000000167e-03
5.611001082000000315e+04 1.237299999999999933e+01 8.999999999999999320e-03
5.611096304999999847e+04 1.238799999999999990e+01 8.000000000000000167e-03
5.611096547000000282e+04 1.237299999999999933e+01 8.999999999999999320e-03
5.611096785999999702e+04 1.237700000000000067e+01 3.699999999999999817e-02
5.611097026999999798e+04 1.238100000000000023e+01 8.000000000000000167e-03
5.611097269000000233e+04 1.236500000000000021e+01 8.000000000000000167e-03
5.611097510999999940e+04 1.239199999999999946e+01 8.000000000000000167e-03
5.611097752999999648e+04 1.237100000000000044e+01 8.999999999999999320e-03
5.611097995000000083e+04 1.239600000000000080e+01 8.999999999999999320e-03
5.611098236000000179e+04 1.238599999999999923e+01 1.200000000000000025e-02
