# MJD,Non_Corr_Flux,Corr_Flux,Eflux,Telescope
5.268030483999988064e+04,1.000864233866465502e+00,9.570123969486845628e-01,1.528743641645664147e-02,1.000000000000000000e+00
5.268629365999996662e+04,9.564784066835372300e-01,9.378822940992774804e-01,1.365328643381026261e-02,1.000000000000000000e+00
5.269329440000001341e+04,1.008498298688310424e+00,9.816337189728353563e-01,1.377294148125200214e-02,1.000000000000000000e+00
5.270032622999977320e+04,9.684454652391133456e-01,1.061084267098419298e+00,1.761970451560940926e-02,1.000000000000000000e+00
5.270128134000021964e+04,1.007569865053886904e+00,1.025886016923030830e+00,1.624123011876152725e-02,1.000000000000000000e+00
5.270328659000014886e+04,1.039621302537733882e+00,9.462939838458855890e-01,1.434809018160749898e-02,1.000000000000000000e+00
5.270430605999985710e+04,9.227311243459264123e-01,9.662555745494355586e-01,1.337153865296843679e-02,1.000000000000000000e+00
5.270629237999999896e+04,8.715156091967656282e-01,1.001772144456045899e+00,1.396808496869396746e-02,1.000000000000000000e+00
5.271224196999985725e+04,9.651063428811218481e-01,1.030812168759680958e+00,1.549493249240250364e-02,1.000000000000000000e+00
5.271423124000011012e+04,8.893550386457828028e-01,9.986776199534961318e-01,1.617297430405864600e-02,1.000000000000000000e+00
5.271723761000018567e+04,9.880414626307573167e-01,9.857819368452895858e-01,1.476127161499186935e-02,1.000000000000000000e+00
5.272028855999978259e+04,1.060413309198725340e+00,9.830186265665745715e-01,1.591052945793218140e-02,1.000000000000000000e+00
5.272223019000003114e+04,1.042737926267629067e+00,1.025702141790335364e+00,1.231304870068398657e-02,1.000000000000000000e+00
5.272624655999988317e+04,9.518645874362108295e-01,9.915780488733566544e-01,1.215981810114706574e-02,1.000000000000000000e+00
5.272824195999978110e+04,9.896352814320793501e-01,1.027292376891203896e+00,1.448052778489049980e-02,1.000000000000000000e+00
5.273024065000005066e+04,1.120147386433236081e+00,9.786181350606896201e-01,1.363968165497225250e-02,1.000000000000000000e+00
5.273323445999994874e+04,1.010125116600660844e+00,1.002427338776172627e+00,1.332335728243171785e-02,1.000000000000000000e+00
5.273523082000017166e+04,1.016190592132714121e+00,1.045510795163860918e+00,1.393697715918835491e-02,1.000000000000000000e+00
5.273719030999997631e+04,1.060901760035688035e+00,9.520699692337553088e-01,1.380061138894096880e-02,1.000000000000000000e+00
5.273921945000020787e+04,1.048757718010272955e+00,9.998006315829499613e-01,1.336968972554462842e-02,1.000000000000000000e+00
5.274119139999989420e+04,1.032940176847069846e+00,1.002872791874012126e+00,1.334311841573185449e-02,1.000000000000000000e+00
5.274233982999995351e+04,9.871318617644926352e-01,9.761534670359509613e-01,1.595719309905785019e-02,1.000000000000000000e+00
5.274416808000020683e+04,9.682224981009737164e-01,1.050530604552657676e+00,1.536118027646508032e-02,1.000000000000000000e+00
5.274724270999990404e+04,1.045141685440530210e+00,9.537440667927747917e-01,1.464669300602284771e-02,1.000000000000000000e+00
5.275028024999983609e+04,1.034130078004385167e+00,9.891459662764648941e-01,1.799808176844115357e-02,1.000000000000000000e+00
5.275513573000021279e+04,1.021821814185110755e+00,9.997320416933159759e-01,1.380857658995755625e-02,1.000000000000000000e+00
5.275631163999997079e+04,1.043458472948461502e+00,1.006309394247243194e+00,1.383769754622432568e-02,1.000000000000000000e+00
5.275829657999984920e+04,1.001094717907403675e+00,1.010619726148671793e+00,1.403353910407670845e-02,1.000000000000000000e+00
5.276016870999988168e+04,9.796595352070556206e-01,1.018446982999692940e+00,1.289516523387507739e-02,1.000000000000000000e+00
5.276133235999988392e+04,1.028194247833615904e+00,1.039567177827797506e+00,1.781982653990190138e-02,1.000000000000000000e+00
5.276313593999994919e+04,9.697843467477170742e-01,9.543147654298789195e-01,1.511782920519021307e-02,1.000000000000000000e+00
5.276423211999982595e+04,1.074422686484235889e+00,1.047745627943619695e+00,1.493000546536381659e-02,1.000000000000000000e+00
5.276626256000017747e+04,9.628866598880455596e-01,1.021717321263360567e+00,1.478446802460326587e-02,1.000000000000000000e+00
5.277014769000001252e+04,9.889519016563076415e-01,9.995173076347281249e-01,1.224474924779692456e-02,1.000000000000000000e+00
5.278210894999979064e+04,9.549379874035934801e-01,1.005763911918799991e+00,1.447668836912520407e-02,1.000000000000000000e+00
5.278324452000018209e+04,1.008498298688312644e+00,9.836860037965821091e-01,1.643002467255821192e-02,1.000000000000000000e+00
5.278517444000020623e+04,1.053355991582998863e+00,9.958602154931305295e-01,1.382882284610622604e-02,1.000000000000000000e+00
5.278712794000003487e+04,1.011754558747994359e+00,1.006950674740659579e+00,1.358848180454414953e-02,1.000000000000000000e+00
