HJD,mag,emag
55306.8098690002,14.70316,0.04189
55306.8191709998,14.77883,0.04694
55306.8328959998,14.78059,0.04228
55306.8466269998,14.72992,0.03608
55306.8625050001,14.77663,0.03485
55306.8928820002,14.75716,0.02922
55306.9130330002,14.78527,0.02937
55306.9289099998,14.76059,0.02976
55306.9537129998,14.7415479334015,0.0301
55306.9696450001,14.7590987955266,0.0291
55307.7861319999,14.82399,0.04498
55307.7972530001,14.77713,0.04529
55307.8058679998,14.83519,0.04445
55307.8154179999,14.79905,0.0408
55307.8218899998,14.85719,0.04082
55307.8313620002,14.77558,0.03948
55307.84082,14.77601,0.03872
55307.8524150001,14.79366,0.03739
55307.8640200002,14.82495,0.03578
55307.8786030002,14.76077,0.03524
55307.8879049998,14.81317,0.03431
55307.9016530002,14.76135,0.03344
55307.9175200001,14.81129,0.03144
55307.9338489999,14.8220318868959,0.02778
55307.9591140002,14.8115813735508,0.02747
55307.9728239998,14.8100412978999,0.0288
55307.9866379998,14.8170816437324,0.02946
55308.7805969999,14.77292,0.04752
55308.7895900002,14.83428,0.0473
55308.7960669999,14.83242,0.04745
55308.8025509999,14.75213,0.0472
55308.8090260001,14.82835,0.04616
55308.8155,14.86887,0.04586
55309.775626,14.73904,0.05582
55309.7824300001,14.75554,0.05431
55309.7867390001,14.89762,0.05392
55309.7910460001,14.73241,0.05431
55309.7953530001,14.7443,0.05434
55309.799656,14.7513,0.05268
55309.8039600002,14.76045,0.05248
55309.8082650001,14.71918,0.05122
55309.8125700001,14.77722,0.05059
55309.8168790001,14.79432,0.05073
55309.821188,14.78998,0.05015
55309.8254829999,14.78187,0.04993
55309.8297930001,14.74256,0.04855
